coordinator,dataset_mode,noise_level,num_runs,num_packages,final_accuracy_mean,final_accuracy_std,handling_accuracy_mean,handling_accuracy_std,hub_accuracy_mean,hub_accuracy_std,depot_accuracy_mean,depot_accuracy_std,conflict_rate_mean,conflict_rate_std,conflict_resolution_accuracy_mean,conflict_resolution_accuracy_std,manual_review_rate_mean,manual_review_rate_std,avg_processing_time_ms_mean,avg_processing_time_ms_std
MediatorCoordinator,conflict_heavy,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.047634653240675104,0.005151908005959629
MediatorCoordinator,conflict_heavy,0.1,30,15000,0.8179333333333333,0.017549797785127025,0.8179333333333333,0.017549797785127025,0.8472000000000001,0.012861061252934161,0.8437333333333332,0.013190731681709355,0.9732,0.007993100473058868,0.8322274330427476,0.016853219872949257,0.02,0.006685032174373867,0.04643878676385308,0.006123740468373282
MediatorCoordinator,conflict_heavy,0.2,30,15000,0.6410666666666667,0.019152623541064753,0.6410666666666667,0.019152623541064753,0.6912,0.02091427494683292,0.6853333333333332,0.0203780364072717,0.9240666666666667,0.012434471920995392,0.675718101067294,0.019128395229581693,0.07586666666666667,0.012102246395446258,0.0455749399222744,0.007098860972891998
MediatorCoordinator,conflict_heavy,0.35,30,15000,0.4126,0.022122854464448578,0.4126,0.022122854464448578,0.5083333333333333,0.018614664840561523,0.4966,0.018570647956311106,0.8395333333333334,0.016755304529761844,0.4628134181580968,0.022862324981417357,0.19746666666666668,0.01949665459072107,0.046755093446699904,0.004340150514604123
MediatorCoordinator,multi_label,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7516,0.020627400591747246,1.0,0.0,0.0,0.0,0.0442335666428941,0.006048097600661262
MediatorCoordinator,multi_label,0.1,30,15000,0.7818666666666666,0.01725215295576745,0.7818666666666666,0.01725215295576745,0.875,0.014553113187503085,0.8722,0.014643817101778662,0.6617333333333334,0.019123795131455595,0.7807573485535274,0.021482440382153953,0.021066666666666668,0.005551845504491918,0.04488796014338732,0.005298923611043798
MediatorCoordinator,multi_label,0.2,30,15000,0.5873333333333333,0.01525266134682469,0.5873333333333333,0.01525266134682469,0.7698,0.022017861088138236,0.7654666666666666,0.021642444462187053,0.6434666666666667,0.019742712899793655,0.5636898607250909,0.020608724361706878,0.06913333333333332,0.011000731428137995,0.04629431336458462,0.005082068658749297
MediatorCoordinator,multi_label,0.35,30,15000,0.35,0.02510666898627149,0.35,0.02510666898627149,0.6328666666666667,0.01648977391228156,0.6256666666666667,0.01697124004030783,0.6598666666666666,0.021424660836382517,0.32689205280930445,0.029251007876372075,0.16226666666666667,0.01306464915224532,0.046516159972331175,0.005587720614651689
MediatorCoordinator,noisy_address,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1994,0.015984043767845915,1.0,0.0,0.0,0.0,0.042521133388315015,0.007503189479150054
MediatorCoordinator,noisy_address,0.1,30,15000,0.7378666666666667,0.01979852542982439,0.7378666666666667,0.01979852542982439,1.0,0.0,1.0,0.0,0.40353333333333335,0.022564441561636433,0.3884505458745494,0.024358994850717394,0.0,0.0,0.04532438018359244,0.005626393707346537
MediatorCoordinator,noisy_address,0.2,30,15000,0.5238666666666667,0.025585196869490286,0.5238666666666667,0.025585196869490286,1.0,0.0,1.0,0.0,0.5661333333333333,0.020577412010684682,0.2033680835835548,0.02840231094840741,0.0,0.0,0.053319053390684226,0.012757910923427398
MediatorCoordinator,noisy_address,0.35,30,15000,0.29433333333333334,0.021205616258895665,0.29433333333333334,0.021205616258895665,1.0,0.0,1.0,0.0,0.7526666666666666,0.023272498692712387,0.09695935499549684,0.015658623834418975,0.0,0.0,0.04990106003630596,0.011995218943469398
MediatorCoordinator,normal,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.19446666666666665,0.01568380085296298,1.0,0.0,0.0,0.0,0.042070246724567065,0.0061368885432004664
MediatorCoordinator,normal,0.1,30,15000,0.6342,0.025908858823136965,0.74,0.019764126331694328,0.8346,0.017958957039066442,0.8315333333333332,0.019072878981519225,0.3459333333333333,0.024688309858679282,0.3797634546268123,0.036192211332721456,0.11366666666666667,0.015519361285589164,0.04403429333081779,0.005917644842392086
MediatorCoordinator,normal,0.2,30,15000,0.39153333333333334,0.022225697046333606,0.5556,0.021639045169832886,0.6953999999999999,0.018600333701122206,0.6891333333333333,0.01993564358272564,0.4368,0.019698415829880748,0.1977089164871491,0.025096036213093094,0.18646666666666667,0.01720211160521175,0.04184322663156005,0.006389850003874353
MediatorCoordinator,normal,0.35,30,15000,0.16966666666666666,0.014451663389127347,0.40893333333333337,0.018290629470764024,0.5128,0.019529641485488792,0.5018666666666667,0.01934038713967857,0.5357333333333333,0.023345875118690042,0.07906918490035997,0.017242241282385412,0.2843333333333333,0.022339594250217875,0.04481961322793116,0.005251636813926302
RuleBasedCoordinator,conflict_heavy,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.04478115337551571,0.006859039989162221
RuleBasedCoordinator,conflict_heavy,0.1,30,15000,0.8332666666666666,0.016950095785169966,0.8332666666666666,0.016950095785169966,0.8472000000000001,0.012861061252934161,0.8437333333333332,0.013190731681709355,0.9732,0.007993100473058868,0.8474406328036751,0.01537466769431505,0.0005333333333333334,0.0008995528902176073,0.045744046720210464,0.007539458148919203
RuleBasedCoordinator,conflict_heavy,0.2,30,15000,0.6902,0.01603745615738353,0.6902,0.01603745615738353,0.6912,0.02091427494683292,0.6853333333333332,0.0203780364072717,0.9240666666666667,0.012434471920995392,0.7235863283206675,0.016906917783046455,0.004866666666666667,0.0037021273784726507,0.043345739946623024,0.007926487162023882
RuleBasedCoordinator,conflict_heavy,0.35,30,15000,0.5030666666666667,0.02576677001064763,0.5030666666666667,0.02576677001064763,0.5083333333333333,0.018614664840561523,0.4966,0.018570647956311106,0.8395333333333334,0.016755304529761844,0.5548315825604978,0.02648006417921473,0.020399999999999998,0.006734368874507175,0.0442338199665149,0.005132230105351579
RuleBasedCoordinator,multi_label,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7516,0.020627400591747246,1.0,0.0,0.0,0.0,0.04188229996555795,0.006942323017906713
RuleBasedCoordinator,multi_label,0.1,30,15000,0.7910666666666667,0.017282507268080758,0.7910666666666667,0.017282507268080758,0.875,0.014553113187503085,0.8722,0.014643817101778662,0.6617333333333334,0.019123795131455595,0.782260990622445,0.02203013325915749,0.0108,0.004887704489063735,0.0418896602311482,0.006029111851213453
RuleBasedCoordinator,multi_label,0.2,30,15000,0.6164666666666666,0.01629625159636272,0.6164666666666666,0.01629625159636272,0.7698,0.022017861088138236,0.7654666666666666,0.021642444462187053,0.6434666666666667,0.019742712899793655,0.5738645600927338,0.020656660277185167,0.029066666666666668,0.007856178474925646,0.044582680088933554,0.005040330186178666
RuleBasedCoordinator,multi_label,0.35,30,15000,0.40553333333333336,0.0276414647714741,0.40553333333333336,0.0276414647714741,0.6328666666666667,0.01648977391228156,0.6256666666666667,0.01697124004030783,0.6598666666666666,0.021424660836382517,0.35677854108619467,0.02796642860785269,0.05313333333333334,0.008011772946553492,0.04300018667903108,0.004887227595358657
RuleBasedCoordinator,noisy_address,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.1994,0.015984043767845915,1.0,0.0,0.0,0.0,0.04095295337416852,0.008350382700849146
RuleBasedCoordinator,noisy_address,0.1,30,15000,0.7378666666666667,0.01979852542982439,0.7378666666666667,0.01979852542982439,1.0,0.0,1.0,0.0,0.40353333333333335,0.022564441561636433,0.3884505458745494,0.024358994850717394,0.0,0.0,0.0416682134110791,0.006047031444192901
RuleBasedCoordinator,noisy_address,0.2,30,15000,0.5238666666666667,0.025585196869490286,0.5238666666666667,0.025585196869490286,1.0,0.0,1.0,0.0,0.5661333333333333,0.020577412010684682,0.2033680835835548,0.02840231094840741,0.0,0.0,0.05098063992530418,0.012763800907473146
RuleBasedCoordinator,noisy_address,0.35,30,15000,0.29433333333333334,0.021205616258895665,0.29433333333333334,0.021205616258895665,1.0,0.0,1.0,0.0,0.7526666666666666,0.023272498692712387,0.09695935499549684,0.015658623834418975,0.0,0.0,0.04664906023729903,0.011355921273347652
RuleBasedCoordinator,normal,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.19446666666666665,0.01568380085296298,1.0,0.0,0.0,0.0,0.039937373388481016,0.006205929918176432
RuleBasedCoordinator,normal,0.1,30,15000,0.6399333333333334,0.025409655147456134,0.7362666666666667,0.020238122669738984,0.8346,0.017958957039066442,0.8315333333333332,0.019072878981519225,0.3459333333333333,0.024688309858679282,0.38069446841736543,0.0366548533216442,0.09733333333333333,0.014396679055118647,0.04324813989223912,0.006827274275383707
RuleBasedCoordinator,normal,0.2,30,15000,0.40259999999999996,0.02196643207102679,0.5292666666666667,0.018669416874578106,0.6953999999999999,0.018600333701122206,0.6891333333333333,0.01993564358272564,0.4368,0.019698415829880748,0.2027254597938583,0.024853035445551508,0.13286666666666666,0.015336981075353359,0.04029889999850032,0.0058740859578533
RuleBasedCoordinator,normal,0.35,30,15000,0.1856,0.014559272433507915,0.2950666666666667,0.015971814254326665,0.5128,0.019529641485488792,0.5018666666666667,0.01934038713967857,0.5357333333333333,0.023345875118690042,0.08634236360520577,0.018289378471954842,0.11913333333333333,0.016821032264304755,0.04248434662780103,0.005756214425187388
WeightedVotingCoordinator,conflict_heavy,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.048451379830172905,0.006589180846886382
WeightedVotingCoordinator,conflict_heavy,0.1,30,15000,0.8332666666666666,0.016950095785169966,0.8332666666666666,0.016950095785169966,0.8472000000000001,0.012861061252934161,0.8437333333333332,0.013190731681709355,0.9732,0.007993100473058868,0.8474406328036751,0.01537466769431505,0.0005333333333333334,0.0008995528902176073,0.04759968000386531,0.006755769147214952
WeightedVotingCoordinator,conflict_heavy,0.2,30,15000,0.6902,0.01603745615738353,0.6902,0.01603745615738353,0.6912,0.02091427494683292,0.6853333333333332,0.0203780364072717,0.9240666666666667,0.012434471920995392,0.7235863283206675,0.016906917783046455,0.004866666666666667,0.0037021273784726507,0.04654765317876202,0.007535231106337892
WeightedVotingCoordinator,conflict_heavy,0.35,30,15000,0.5030666666666667,0.02576677001064763,0.5030666666666667,0.02576677001064763,0.5083333333333333,0.018614664840561523,0.4966,0.018570647956311106,0.8395333333333334,0.016755304529761844,0.5548315825604978,0.02648006417921473,0.020399999999999998,0.006734368874507175,0.04726665343041532,0.004206992508390298
WeightedVotingCoordinator,multi_label,0.0,30,15000,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7516,0.020627400591747246,1.0,0.0,0.0,0.0,0.044075746583985165,0.005559455515115438
